model,input_tokens,output_tokens,cost_usd,timestamp
nvidia/nemotron-3-super-120b-a12b-20230311:free,390,168,0.0,2026-05-16T05:34:23.529188+00:00
deepseek-chat,800,343,0.0,2026-05-16T05:34:38.402943+00:00
MiniMax-M2.7-highspeed,1561,670,0.005138,2026-05-16T05:34:39.072304+00:00
MiniMax-M2.7-highspeed,1577,677,0.005223,2026-05-16T05:34:43.384729+00:00
deepseek-chat,539,232,0.0,2026-05-16T05:34:59.337406+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1333,572,0.0,2026-05-16T05:44:30.564546+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,454,195,0.0,2026-05-16T05:44:40.833944+00:00
MiniMax-M2.7-highspeed,1937,831,0.003102,2026-05-16T05:48:35.846519+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,649,279,0.0,2026-05-16T05:52:16.611146+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,433,186,0.0,2026-05-16T05:52:27.014090+00:00
deepseek-chat,203,87,0.0,2026-05-16T05:52:29.751238+00:00
MiniMax-M2.7-highspeed,3292,1411,0.011351,2026-05-16T05:59:10.355836+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,721,310,0.0,2026-05-16T06:00:17.309013+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T06:00:18.136638+00:00
llama-3.3-70b-versatile,534,229,0.0,2026-05-16T06:00:56.972274+00:00
MiniMax-M2.7-highspeed,707,304,0.002208,2026-05-16T06:01:09.527508+00:00
MiniMax-M2.7-highspeed,884,379,0.002855,2026-05-16T06:01:13.816319+00:00
deepseek-chat,475,204,0.0,2026-05-16T06:01:14.261372+00:00
MiniMax-M2.7-highspeed,854,367,0.002693,2026-05-16T06:01:18.735130+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,602,259,0.0,2026-05-16T06:08:40.128308+00:00
llama-3.3-70b-versatile,232,100,0.0,2026-05-16T06:08:41.696432+00:00
MiniMax-M2.7-highspeed,550,236,0.001613,2026-05-16T06:08:55.525993+00:00
deepseek-chat,434,187,0.0,2026-05-16T06:08:57.933143+00:00
MiniMax-M2.7-highspeed,694,298,0.002112,2026-05-16T06:08:58.566097+00:00
MiniMax-M2.7-highspeed,1581,678,0.005225,2026-05-16T06:09:18.232086+00:00
MiniMax-M2.7-highspeed,1948,835,0.003706,2026-05-16T06:18:59.883880+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,668,287,0.0,2026-05-16T06:23:16.719312+00:00
llama-3.3-70b-versatile,224,97,0.0,2026-05-16T06:23:18.518674+00:00
deepseek-chat,503,216,0.0,2026-05-16T06:23:38.370205+00:00
MiniMax-M2.7-highspeed,1281,550,0.004209,2026-05-16T06:23:46.020503+00:00
MiniMax-M2.7-highspeed,1428,612,0.004752,2026-05-16T06:23:49.041700+00:00
MiniMax-M2.7-highspeed,1538,660,0.005195,2026-05-16T06:23:54.506840+00:00
llama-3.3-70b-versatile,406,175,0.0,2026-05-16T06:28:13.615506+00:00
deepseek-chat,870,373,0.0,2026-05-16T06:28:48.630992+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1561,670,0.0,2026-05-16T06:29:00.170444+00:00
MiniMax-M2.7-highspeed,702,301,0.002154,2026-05-16T06:30:36.717846+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T06:33:28.926966+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,560,240,0.0,2026-05-16T06:36:50.454591+00:00
llama-3.3-70b-versatile,227,98,0.0,2026-05-16T06:36:51.915732+00:00
MiniMax-M2.7-highspeed,510,219,0.001367,2026-05-16T06:37:04.764767+00:00
deepseek-chat,658,282,0.0,2026-05-16T06:37:18.579789+00:00
MiniMax-M2.7-highspeed,161,70,0.000352,2026-05-16T06:38:26.787938+00:00
MiniMax-M2.7-highspeed,762,327,0.001733,2026-05-16T06:42:11.645607+00:00
MiniMax-M2.7-highspeed,2401,1029,0.007571,2026-05-16T06:43:02.148386+00:00
MiniMax-M2.7-highspeed,1270,545,0.00351,2026-05-16T06:43:34.114698+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,592,255,0.0,2026-05-16T06:44:15.656676+00:00
llama-3.3-70b-versatile,506,218,0.0,2026-05-16T06:44:18.672613+00:00
MiniMax-M2.7-highspeed,358,154,0.0009,2026-05-16T06:44:22.857814+00:00
MiniMax-M2.7-highspeed,3721,1595,0.012258,2026-05-16T06:44:27.622750+00:00
deepseek-chat,165,72,0.0,2026-05-16T06:44:33.695731+00:00
MiniMax-M2.7-highspeed,1421,610,0.002748,2026-05-16T06:44:43.858161+00:00
MiniMax-M2.7-highspeed,1578,677,0.005223,2026-05-16T06:44:54.746480+00:00
MiniMax-M2.7-highspeed,1316,564,0.002356,2026-05-16T06:44:56.460959+00:00
MiniMax-M2.7-highspeed,1561,669,0.005211,2026-05-16T06:44:56.494847+00:00
MiniMax-M2.7-highspeed,2431,1043,0.006317,2026-05-16T06:45:50.503819+00:00
